Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,67.0,1.0,67.0,67.0,0.1,597.0,0.0,0.0,0.014791011810302734,,,,,,,,,,,,,,,,,,,,,274.1704734010224,183.56923972341554,579.7895776478493,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,284.0,2.0,217.0,284.0,0.1,2106.0,0.0,0.0,21.282335996627808,,,,,,,,,,,,,,,,,,,,,967.4552541237821,564.7535366722899,1899.8600300552207,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,339.0,3.0,55.0,339.0,0.1,405.0,0.0,0.0,26.818666458129883,,,,,,,,,,,,,,,,,,,,,159.77469505647164,133.65777878337164,397.00600677944607,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,426.0,4.0,87.0,426.0,0.1,788.0,0.0,0.0,35.363688468933105,,,,,,,,,,,,,,,,,,,,,361.2084802979399,237.4469460700607,758.0902846931809,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,553.0,5.0,127.0,553.0,0.1,1179.0,0.0,0.0,48.32269644737244,,,,,,,,,,,,,,,,,,,,,540.0119332395896,342.73066796123715,1112.6426571502157,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,582.0,6.0,29.0,582.0,0.1,208.0,0.0,0.0,51.40679955482483,,,,,,,,,,,,,,,,,,,,,85.73009868102518,71.04184077927589,205.92547215709232,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,670.0,7.0,88.0,670.0,0.1,789.0,0.0,0.0,59.95775890350342,,,,,,,,,,,,,,,,,,,,,358.0615594167145,239.15374558163063,759.0078394423745,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,800.0,8.0,130.0,800.0,0.1,1218.0,0.0,0.0,72.4231469631195,,,,,,,,,,,,,,,,,,,,,561.7960909162765,351.05324680834656,1147.2598806823682,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,874.0,9.0,74.0,874.0,0.1,649.0,0.0,0.0,79.7319746017456,,,,,,,,,,,,,,,,,,,,,291.86811146514367,200.60725239748254,628.6584479891094,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,962.0,10.0,88.0,962.0,0.1,789.0,0.0,0.0,88.49983382225037,,,,,,,,,,,,,,,,,,,,,358.0615594167145,239.15374558163063,759.0078394423745,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1012.0,11.0,50.0,1012.0,0.1,346.0,0.0,0.0,93.7011775970459,,,,,,,,,,,,,,,,,,,,,130.81971803388896,115.3107735748245,340.13895186307974,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1113.0,12.0,101.0,1113.0,0.1,928.0,0.0,0.0,103.84306025505066,,,,,,,,,,,,,,,,,,,,,427.05970631967506,275.09506279560185,886.6393617458426,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,1197.0,13.0,84.0,1197.0,0.1,758.0,0.0,0.0,112.23895907402039,,,,,,,,,,,,,,,,,,,,,347.0342402738346,229.2877453660456,730.3090115310486,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,1236.0,14.0,39.0,1236.0,0.1,308.0,0.0,0.0,116.29281711578369,,,,,,,,,,,,,,,,,,,,,132.8177582449575,101.65342298810651,303.4266573164221,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,1374.0,15.0,138.0,1374.0,0.1,1289.0,0.0,0.0,129.4177258014679,,,,,,,,,,,,,,,,,,,,,590.5969262631693,371.0690832102977,1209.9162467529418,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1464.0,16.0,90.0,1464.0,0.1,791.0,0.0,0.0,138.2297441959381,,,,,,,,,,,,,,,,,,,,,352.0080262235809,242.26641575569093,760.8401971940687,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1697.0,17.0,233.0,1697.0,0.1,2248.0,0.0,0.0,160.88721442222595,,,,,,,,,,,,,,,,,,,,,1021.0742941357753,602.0856246905529,2014.1159071647883,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1824.0,18.0,127.0,1824.0,0.1,1125.0,0.0,0.0,173.53927183151245,,,,,,,,,,,,,,,,,,,,,493.6103664514335,337.25488967406267,1064.4392976166037,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1931.0,19.0,107.0,1931.0,0.1,979.0,0.0,0.0,183.82298183441162,,,,,,,,,,,,,,,,,,,,,447.19344055936926,290.25332876826093,933.0153996440358,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2008.0,20.0,77.0,2008.0,0.1,697.0,0.0,0.0,191.5062997341156,,,,,,,,,,,,,,,,,,,,,321.7865374163508,211.14401839955772,673.5689008517435,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,153.0,1.0,153.0,2161.0,0.1,1169.0,0.0,0.0,562.4635226726532,,,,,,,,,,,,,,,,,,,,,444.6384854905658,365.0019899671535,1103.1755596637115,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
